Player,DRtg,Season,ORtg,USG%,VORP,WS,PER,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Year,Pos,Cluster,Role,PC1,PC2,PC3
Trevor Ariza,115,2018-19,107.0,16.6,0.9,2.5,12.0,33.0,TOT,NBA,69.0,69.0,2349.0,5.9,14.9,3.0,6.1,2.9,8.8,2.6,3.3,1.0,6.5,7.5,5.1,1.8,0.4,2.1,2.6,17.5,0.39899999999999997,0.493,0.33399999999999996,0.498,0.7929999999999999,0.534,2018,SF,1,3&D,-2.607502700942651,0.9134572269034339,1.9801132181447807
D.J. Augustin,112,2018-19,122.0,17.2,1.0,6.9,15.7,31.0,ORL,NBA,81.0,81.0,2269.0,6.9,14.6,4.0,7.9,2.8,6.7,3.9,4.5,0.9,3.5,4.4,9.2,1.1,0.1,2.8,2.5,20.4,0.47,0.511,0.42100000000000004,0.5660000000000001,0.866,0.616,2018,PG,8,All Star,-0.324033942834919,2.03115776035479,3.9711695104969778
Deandre Ayton,113,2018-19,117.0,21.2,1.2,5.8,20.5,20.0,PHO,NBA,71.0,70.0,2183.0,11.1,19.0,11.1,18.9,0.0,0.1,3.1,4.1,4.9,11.1,15.9,2.7,1.3,1.5,2.8,4.6,25.4,0.585,0.588,0.0,0.585,0.746,0.608,2018,C,6,Star Inside Big,5.442781966301881,-1.9105331583734606,1.067452450356069
Dwayne Bacon,116,2018-19,114.0,16.8,-0.3,1.2,11.7,23.0,CHO,NBA,43.0,13.0,759.0,7.8,16.5,5.4,10.9,2.4,5.6,2.2,2.9,0.5,5.2,5.7,3.0,0.8,0.3,1.2,4.6,20.2,0.475,0.494,0.4370000000000001,0.5489999999999999,0.7390000000000001,0.57,2018,SG,1,3&D,-1.6021801590013027,0.23860869406710236,2.5852315000866537
Marvin Bagley,110,2018-19,111.0,24.2,0.1,3.6,18.9,19.0,SAC,NBA,62.0,4.0,1567.0,10.6,21.0,9.7,18.1,0.9,2.9,5.4,7.8,4.8,9.2,14.0,1.8,1.0,1.8,2.9,3.6,27.4,0.504,0.534,0.313,0.525,0.691,0.562,2018,PF,2,Do It All,4.1716165716220255,0.04010293145478486,-0.26051556140175736
Lonzo Ball,109,2018-19,100.0,16.9,0.9,1.6,11.7,21.0,LAL,NBA,47.0,45.0,1423.0,6.0,14.9,3.6,7.5,2.5,7.5,0.7,1.6,1.8,6.4,8.2,8.3,2.3,0.6,3.4,3.7,15.2,0.406,0.48200000000000004,0.32899999999999996,0.488,0.41700000000000004,0.48700000000000004,2018,PG,1,3&D,-2.7287964188746403,-0.4606326636606674,-0.13877595516457583
Mohamed Bamba,103,2018-19,105.0,17.8,0.4,1.7,14.9,20.0,ORL,NBA,47.0,1.0,766.0,7.5,15.5,6.1,11.1,1.3,4.5,2.4,4.0,4.1,10.8,14.9,2.5,0.8,4.1,2.7,6.5,18.7,0.48100000000000004,0.555,0.3,0.525,0.5870000000000001,0.539,2018,C,2,Do It All,1.5803781965571457,-3.4909043386575274,0.09108141151645502
J.J. Barea,113,2018-19,105.0,28.1,0.2,1.0,16.3,34.0,DAL,NBA,38.0,0.0,752.0,10.4,24.8,7.9,16.6,2.5,8.3,3.5,5.0,0.8,5.3,6.1,13.6,1.4,0.1,4.6,3.2,26.8,0.418,0.479,0.297,0.46799999999999997,0.705,0.495,2018,PG,2,Do It All,0.4704689285224093,4.257092753838748,-1.5264630710874554
Harrison Barnes,114,2018-19,108.0,20.9,-0.2,3.6,12.8,26.0,TOT,NBA,77.0,77.0,2533.0,8.1,19.4,4.8,11.0,3.3,8.3,4.3,5.2,1.1,5.7,6.8,2.2,0.9,0.2,1.8,2.3,23.8,0.42,0.439,0.395,0.504,0.8240000000000001,0.55,2018,PF-SF,7,Elite Wing,-1.1172645184477956,2.337093074237363,1.5684976472594323
Harrison Barnes,114,2018-19,108.0,20.9,-0.2,3.6,12.8,26.0,TOT,NBA,77.0,77.0,2533.0,8.1,19.4,4.8,11.0,3.3,8.3,4.3,5.2,1.1,5.7,6.8,2.2,0.9,0.2,1.8,2.3,23.8,0.42,0.439,0.395,0.504,0.8240000000000001,0.55,2018,PF,7,Elite Wing,-1.1172645184477956,2.337093074237363,1.5684976472594323
Harrison Barnes,114,2018-19,108.0,20.9,-0.2,3.6,12.8,26.0,TOT,NBA,77.0,77.0,2533.0,8.1,19.4,4.8,11.0,3.3,8.3,4.3,5.2,1.1,5.7,6.8,2.2,0.9,0.2,1.8,2.3,23.8,0.42,0.439,0.395,0.504,0.8240000000000001,0.55,2018,SF,7,Elite Wing,-1.1172645184477956,2.337093074237363,1.5684976472594323
Will Barton,111,2018-19,102.0,20.0,-0.1,1.2,11.0,28.0,DEN,NBA,43.0,38.0,1189.0,7.6,19.0,4.9,10.9,2.8,8.1,2.4,3.1,1.3,6.9,8.2,5.1,0.7,0.9,2.7,3.4,20.4,0.402,0.447,0.342,0.475,0.77,0.501,2018,SG,1,3&D,-1.9223370814617047,1.162805214720574,0.026393718987985936
Keita Bates-Diop,113,2018-19,100.0,14.1,-0.1,0.3,9.6,23.0,MIN,NBA,30.0,3.0,503.0,5.7,13.5,4.5,8.6,1.2,5.0,1.7,2.7,1.5,6.4,7.9,1.6,1.7,1.3,1.3,2.8,14.4,0.423,0.522,0.25,0.46799999999999997,0.643,0.489,2018,SF,5,Perimeter Scorer,-2.8902158521247334,-1.6139237952568528,0.34699728446509537
Nicolas Batum,113,2018-19,112.0,13.2,1.7,3.7,11.9,30.0,CHO,NBA,75.0,72.0,2354.0,5.2,11.6,2.8,5.5,2.4,6.2,1.6,1.8,1.5,6.6,8.1,5.1,1.5,0.9,2.4,2.9,14.4,0.45,0.519,0.389,0.5529999999999999,0.865,0.581,2018,SF,7,Elite Wing,-2.0579995518425624,-0.5036152952932209,3.483224976179486
Jerryd Bayless,117,2018-19,98.0,17.6,-0.5,0.0,8.5,30.0,MIN,NBA,34.0,6.0,657.0,6.0,16.8,3.9,9.6,2.1,7.1,1.2,2.0,0.8,3.7,4.5,8.7,1.3,0.1,2.3,4.1,15.2,0.35700000000000004,0.402,0.29600000000000004,0.42,0.5710000000000001,0.431,2018,PG,5,Perimeter Scorer,-4.762167730117497,0.871955399957239,-1.3913639615082398
Aron Baynes,108,2018-19,118.0,15.2,0.5,2.4,14.0,32.0,BOS,NBA,51.0,18.0,821.0,6.2,13.1,4.9,9.5,1.2,3.6,3.1,3.6,5.2,8.9,14.1,3.3,0.7,2.0,2.3,7.3,16.7,0.47100000000000003,0.519,0.344,0.518,0.855,0.5670000000000001,2018,C,2,Do It All,0.5679444611652148,-2.828518169245612,1.5456527658990378
Kent Bazemore,112,2018-19,98.0,22.0,-0.1,0.7,11.9,29.0,ATL,NBA,67.0,35.0,1643.0,7.8,19.4,5.1,11.0,2.7,8.4,3.6,4.9,1.0,6.3,7.3,4.3,2.5,1.2,3.4,4.8,21.9,0.402,0.465,0.32,0.47200000000000003,0.726,0.507,2018,SG,1,3&D,-1.3647229464496247,1.5374325784004121,-0.7657311154402298
Bradley Beal,114,2018-19,113.0,28.4,3.7,7.6,20.8,25.0,WAS,NBA,82.0,82.0,3028.0,11.9,25.2,8.7,15.8,3.3,9.3,5.7,7.0,1.4,5.0,6.4,7.0,1.9,0.9,3.5,3.5,32.8,0.475,0.5479999999999999,0.35100000000000003,0.54,0.8079999999999999,0.581,2018,SG,8,All Star,3.8543031434762756,4.6800722309916845,1.775292289657629
Malik Beasley,112,2018-19,117.0,18.7,0.7,4.5,14.2,22.0,DEN,NBA,81.0,18.0,1879.0,9.1,19.3,4.9,8.7,4.3,10.6,1.5,1.7,0.9,4.3,5.2,2.5,1.4,0.3,1.4,3.0,24.0,0.474,0.56,0.402,0.584,0.848,0.599,2018,SG,7,Elite Wing,-0.7203795727525194,1.7805677476512207,4.519103168722999
Marco Belinelli,114,2018-19,109.0,19.8,0.0,2.5,11.9,32.0,SAS,NBA,79.0,1.0,1815.0,7.7,18.6,3.7,7.9,4.0,10.6,3.0,3.3,0.4,4.9,5.3,3.6,0.9,0.2,1.9,3.3,22.3,0.413,0.46799999999999997,0.3720000000000001,0.52,0.903,0.557,2018,SG,1,3&D,-2.223039906463778,2.340970693790193,2.5239794242577496
Jordan Bell,108,2018-19,109.0,13.7,0.3,1.6,12.9,24.0,GSW,NBA,68.0,3.0,788.0,6.0,11.6,6.0,11.5,0.0,0.1,1.5,2.5,3.3,7.8,11.1,4.6,1.2,3.1,2.5,4.8,13.5,0.516,0.521,0.0,0.516,0.61,0.531,2018,C,3,Backup Inside Big,0.14823027770678038,-4.163372289555123,-0.00882821281488911
DeAndre' Bembry,112,2018-19,97.0,17.2,-0.1,0.9,10.8,24.0,ATL,NBA,82.0,15.0,1931.0,6.6,14.7,5.4,10.6,1.2,4.1,2.1,3.3,1.3,7.3,8.6,4.8,2.5,1.0,3.4,4.5,16.4,0.446,0.508,0.289,0.48700000000000004,0.64,0.508,2018,SG,5,Perimeter Scorer,-1.6503633126274728,-0.7788526317099899,-0.6386030336444731
Dragan Bender,115,2018-19,102.0,13.4,-0.3,0.5,9.5,21.0,PHO,NBA,46.0,27.0,826.0,5.1,11.4,3.8,5.5,1.3,5.8,1.8,3.1,2.0,8.6,10.6,3.2,1.0,1.3,2.1,5.2,13.3,0.447,0.688,0.218,0.503,0.593,0.521,2018,PF,5,Perimeter Scorer,-2.0130549337620787,-3.1059510837025517,1.508808159762092
Dāvis Bertāns,112,2018-19,122.0,14.1,1.3,4.0,13.0,26.0,SAS,NBA,76.0,12.0,1632.0,6.1,13.6,1.8,3.4,4.3,10.1,1.6,1.8,0.7,7.2,7.9,3.0,1.0,1.0,1.3,4.0,18.1,0.45,0.513,0.429,0.61,0.883,0.632,2018,PF,7,Elite Wing,-1.7913021974061425,-0.03645851888282445,5.672946322292591
Patrick Beverley,111,2018-19,119.0,12.2,2.3,4.8,11.8,30.0,LAC,NBA,78.0,49.0,2137.0,4.3,10.5,1.8,4.3,2.5,6.2,2.1,2.7,1.7,6.9,8.6,6.6,1.5,0.9,1.9,5.9,13.2,0.40700000000000003,0.42100000000000004,0.397,0.524,0.78,0.561,2018,PG,7,Elite Wing,-2.4672300058502286,-1.046932812531518,2.889824035071139
Khem Birch,106,2018-19,134.0,14.1,0.7,2.8,19.2,26.0,ORL,NBA,50.0,1.0,643.0,6.9,11.5,6.9,11.4,0.0,0.1,4.4,6.3,6.0,8.4,14.5,2.9,1.4,2.2,1.5,5.5,18.3,0.603,0.607,0.0,0.603,0.6990000000000001,0.64,2018,C,9,Elite Inside Big,3.9970921973312517,-4.562739618081521,3.0451523664436153
Bismack Biyombo,110,2018-19,121.0,12.7,0.2,2.0,14.4,26.0,CHO,NBA,54.0,32.0,783.0,5.5,9.7,5.5,9.7,0.0,0.0,3.6,5.7,5.0,10.3,15.3,2.0,0.7,2.5,2.1,6.4,14.7,0.5710000000000001,0.5710000000000001,0.0,0.5710000000000001,0.637,0.602,2018,C,3,Backup Inside Big,2.0430920076231494,-5.40270114711993,1.8125804128093526
Nemanja Bjelica,110,2018-19,117.0,16.5,1.8,4.5,15.4,30.0,SAC,NBA,77.0,70.0,1788.0,7.4,15.4,4.7,8.7,2.7,6.7,1.8,2.4,3.3,8.3,11.6,3.8,1.4,1.5,2.1,5.1,19.3,0.479,0.539,0.401,0.5660000000000001,0.7609999999999999,0.585,2018,PF,7,Elite Wing,0.4519592608959504,-1.0411330101292156,3.157525083196014
Antonio Blakeney,116,2018-19,94.0,24.5,-1.3,-0.5,10.6,22.0,CHI,NBA,57.0,3.0,829.0,9.7,23.2,7.6,17.8,2.1,5.3,2.9,4.4,0.4,5.8,6.2,2.5,0.7,0.5,2.0,2.4,24.5,0.419,0.426,0.396,0.465,0.6579999999999999,0.48700000000000004,2018,SG,5,Perimeter Scorer,-1.4134051113750066,2.226599391728088,-1.5076455868721133
Eric Bledsoe,105,2018-19,116.0,22.9,3.2,8.2,19.3,29.0,MIL,NBA,78.0,78.0,2272.0,9.6,19.9,7.1,12.2,2.5,7.7,3.6,4.8,1.7,5.7,7.4,8.8,2.4,0.6,3.4,3.2,25.4,0.484,0.5820000000000001,0.32899999999999996,0.5479999999999999,0.75,0.5770000000000001,2018,PG,8,All Star,2.675497404004047,2.3159162086017537,2.275491411983633
Jaron Blossomgame,118,2018-19,108.0,12.2,-0.3,0.3,10.2,25.0,CLE,NBA,27.0,4.0,439.0,5.3,12.0,4.2,7.6,1.1,4.4,1.1,1.5,2.9,8.1,11.1,1.5,0.8,0.9,1.2,2.3,12.9,0.44299999999999995,0.552,0.256,0.491,0.769,0.51,2018,SF,5,Perimeter Scorer,-2.7212681171114994,-2.324068023807356,1.6924244367027883
Bogdan Bogdanović,113,2018-19,107.0,22.3,0.6,2.7,14.1,26.0,SAC,NBA,70.0,17.0,1947.0,8.6,20.6,5.4,11.7,3.2,8.9,3.2,3.9,1.0,4.9,5.8,6.4,1.7,0.4,2.8,3.4,23.7,0.418,0.462,0.36,0.496,0.8270000000000001,0.53,2018,SG,7,Elite Wing,-0.962759545683118,2.8051894211248074,0.8552400488321865
Bojan Bogdanović,110,2018-19,114.0,22.4,1.3,6.8,16.1,29.0,IND,NBA,81.0,81.0,2573.0,9.9,20.0,6.8,12.6,3.1,7.3,4.7,5.8,0.6,5.7,6.3,3.1,1.3,0.0,2.5,2.6,27.6,0.4970000000000001,0.5379999999999999,0.425,0.575,0.807,0.613,2018,SF,8,All Star,1.7913602829386026,2.6765267805238615,3.099544743048319
Jonah Bolden,107,2018-19,111.0,13.8,0.5,1.4,12.7,23.0,PHI,NBA,44.0,10.0,639.0,5.9,12.0,3.4,4.9,2.5,7.1,1.0,2.0,3.5,8.7,12.2,3.0,1.3,2.9,2.7,7.3,15.3,0.494,0.6970000000000001,0.354,0.599,0.48100000000000004,0.595,2018,PF,1,3&D,-0.04561999299179676,-4.175191100619331,3.2414081862545925
Devin Booker,118,2018-19,109.0,32.9,1.6,3.5,20.2,22.0,PHO,NBA,64.0,64.0,2242.0,12.5,26.7,9.6,17.9,2.9,8.8,8.4,9.7,0.8,4.8,5.6,9.2,1.2,0.3,5.6,4.3,36.2,0.467,0.536,0.326,0.521,0.866,0.584,2018,SG,8,All Star,4.144349321608723,6.179172170954165,-0.1360391070297646
Avery Bradley,115,2018-19,98.0,16.2,-0.4,0.3,7.6,28.0,TOT,NBA,63.0,63.0,1905.0,6.2,15.2,4.1,9.1,2.2,6.1,1.1,1.3,1.1,3.3,4.4,3.8,1.0,0.4,2.2,4.2,15.7,0.408,0.446,0.35100000000000003,0.479,0.86,0.496,2018,SG,5,Perimeter Scorer,-4.115460155971835,0.3974733851428445,0.4937828944922838
Avery Bradley,115,2018-19,98.0,16.2,-0.4,0.3,7.6,28.0,TOT,NBA,63.0,63.0,1905.0,6.2,15.2,4.1,9.1,2.2,6.1,1.1,1.3,1.1,3.3,4.4,3.8,1.0,0.4,2.2,4.2,15.7,0.408,0.446,0.35100000000000003,0.479,0.86,0.496,2018,SG,5,Perimeter Scorer,-4.115460155971835,0.3974733851428445,0.4937828944922838
Avery Bradley,115,2018-19,98.0,16.2,-0.4,0.3,7.6,28.0,TOT,NBA,63.0,63.0,1905.0,6.2,15.2,4.1,9.1,2.2,6.1,1.1,1.3,1.1,3.3,4.4,3.8,1.0,0.4,2.2,4.2,15.7,0.408,0.446,0.35100000000000003,0.479,0.86,0.496,2018,SG,5,Perimeter Scorer,-4.115460155971835,0.3974733851428445,0.4937828944922838
Corey Brewer,109,2018-19,112.0,13.6,0.2,1.0,11.6,32.0,TOT,NBA,31.0,3.0,492.0,5.0,11.7,3.7,7.5,1.3,4.2,2.9,4.1,2.5,4.7,7.2,3.7,3.0,0.7,1.8,6.0,14.3,0.431,0.494,0.318,0.488,0.721,0.532,2018,SF,1,3&D,-2.18474348813533,-1.5663427881650236,0.9397341093959499
Corey Brewer,109,2018-19,112.0,13.6,0.2,1.0,11.6,32.0,TOT,NBA,31.0,3.0,492.0,5.0,11.7,3.7,7.5,1.3,4.2,2.9,4.1,2.5,4.7,7.2,3.7,3.0,0.7,1.8,6.0,14.3,0.431,0.494,0.318,0.488,0.721,0.532,2018,SF,1,3&D,-2.18474348813533,-1.5663427881650236,0.9397341093959499
Corey Brewer,109,2018-19,112.0,13.6,0.2,1.0,11.6,32.0,TOT,NBA,31.0,3.0,492.0,5.0,11.7,3.7,7.5,1.3,4.2,2.9,4.1,2.5,4.7,7.2,3.7,3.0,0.7,1.8,6.0,14.3,0.431,0.494,0.318,0.488,0.721,0.532,2018,SF,1,3&D,-2.18474348813533,-1.5663427881650236,0.9397341093959499
Mikal Bridges,115,2018-19,112.0,12.2,1.1,2.9,10.8,22.0,PHO,NBA,82.0,56.0,2417.0,4.8,11.1,2.7,4.9,2.1,6.2,1.9,2.3,1.1,4.1,5.2,3.4,2.5,0.8,1.4,4.0,13.5,0.43,0.5479999999999999,0.335,0.523,0.805,0.556,2018,SF,1,3&D,-3.020567280827555,-0.8167754188642535,3.1393569236670085
Miles Bridges,112,2018-19,111.0,15.1,0.6,2.9,13.1,20.0,CHO,NBA,80.0,25.0,1696.0,6.8,14.7,4.9,8.9,1.9,5.7,1.7,2.2,1.9,7.3,9.3,2.7,1.6,1.4,1.4,3.2,17.1,0.46399999999999997,0.5529999999999999,0.325,0.527,0.753,0.5479999999999999,2018,SF,1,3&D,-1.0304598337462285,-1.1086085349150387,2.342787056466916
Isaiah Briscoe,111,2018-19,96.0,14.1,-0.5,0.3,6.7,22.0,ORL,NBA,39.0,0.0,559.0,4.8,12.1,3.9,9.1,1.0,3.0,1.3,2.3,0.4,6.0,6.5,7.6,1.0,0.2,2.7,5.8,11.9,0.39899999999999997,0.423,0.324,0.43799999999999994,0.5770000000000001,0.455,2018,PG,5,Perimeter Scorer,-4.294242252287833,-1.3402280016213517,-1.4597724136938455
Ryan Broekhoff,114,2018-19,116.0,14.3,0.0,0.8,10.7,28.0,DAL,NBA,42.0,0.0,453.0,6.1,13.5,2.0,3.5,4.1,10.0,1.6,2.0,0.9,5.9,6.7,2.4,0.6,0.4,1.7,3.7,17.9,0.452,0.5760000000000001,0.409,0.603,0.789,0.621,2018,SG,1,3&D,-2.5729736467111355,-0.28611632623614097,5.047254599488443
Malcolm Brogdon,108,2018-19,121.0,20.7,1.6,6.5,17.8,26.0,MIL,NBA,64.0,64.0,1832.0,9.6,19.0,7.0,12.8,2.6,6.2,3.6,3.9,1.6,5.7,7.3,5.2,1.2,0.3,2.3,2.6,25.4,0.505,0.544,0.426,0.575,0.9279999999999999,0.614,2018,SG,8,All Star,1.9378665830321111,2.0440882864426837,3.5617125862427166
Bruce Brown,110,2018-19,100.0,11.5,0.0,1.5,6.9,22.0,DET,NBA,74.0,56.0,1449.0,4.3,10.7,3.4,7.5,0.8,3.2,1.5,2.0,1.6,4.7,6.3,3.1,1.4,1.2,1.6,6.1,10.9,0.39799999999999996,0.457,0.258,0.436,0.75,0.469,2018,SG,5,Perimeter Scorer,-4.107486191442848,-2.3338927996021264,-0.3360453639589079
Jaylen Brown,109,2018-19,104.0,22.1,0.0,3.0,13.5,22.0,BOS,NBA,74.0,25.0,1913.0,9.3,19.9,6.9,13.0,2.4,6.9,3.3,5.1,1.6,6.2,7.9,2.5,1.7,0.8,2.5,4.7,24.3,0.465,0.529,0.344,0.525,0.6579999999999999,0.547,2018,SG,7,Elite Wing,0.5202459286450333,0.8041443577715053,0.6000445584631624
Sterling Brown,108,2018-19,109.0,15.2,0.1,2.1,10.9,23.0,MIL,NBA,58.0,7.0,1034.0,6.5,14.0,4.1,7.4,2.4,6.6,1.3,1.9,1.3,7.0,8.3,3.8,1.1,0.4,2.1,4.0,16.7,0.465,0.5579999999999999,0.361,0.55,0.69,0.563,2018,SG,1,3&D,-1.7129811550628307,-1.083051985454853,2.506996131779435
Troy Brown,115,2018-19,105.0,16.5,-0.3,0.6,11.1,19.0,WAS,NBA,52.0,10.0,730.0,6.3,15.2,4.9,10.7,1.4,4.5,2.1,3.0,2.3,7.1,9.4,5.2,1.4,0.3,1.9,3.6,16.1,0.415,0.455,0.319,0.462,0.6809999999999999,0.48700000000000004,2018,SF,1,3&D,-2.432630615662409,-0.5026548638480948,-0.20635669395065293
Jalen Brunson,114,2018-19,110.0,19.1,-0.2,2.6,12.8,22.0,DAL,NBA,73.0,38.0,1591.0,8.0,17.2,6.1,11.7,1.9,5.5,2.7,3.7,0.8,4.4,5.2,7.0,1.1,0.1,2.7,3.9,20.7,0.467,0.523,0.348,0.523,0.725,0.5489999999999999,2018,PG,1,3&D,-0.9098387453122223,1.0904872417286195,1.3305352816338063
