Unnamed: 0,Player,DRtg,Season,ORtg,USG%,VORP,WS,PER,Rk,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Year,Pos
17,D.J. Augustin,112,2018-19,122.0,17.2,1.0,6.9,15.7,24.0,31.0,ORL,NBA,81.0,81.0,2269.0,6.9,14.6,4.0,7.9,2.8,6.7,3.9,4.5,0.9,3.5,4.4,9.2,1.1,0.1,2.8,2.5,20.4,0.47,0.511,0.42100000000000004,0.5660000000000001,0.866,0.616,2018,PG
18,Deandre Ayton,113,2018-19,117.0,21.2,1.2,5.8,20.5,25.0,20.0,PHO,NBA,71.0,70.0,2183.0,11.1,19.0,11.1,18.9,0.0,0.1,3.1,4.1,4.9,11.1,15.9,2.7,1.3,1.5,2.8,4.6,25.4,0.585,0.588,0.0,0.585,0.746,0.608,2018,C
19,Dwayne Bacon,116,2018-19,114.0,16.8,-0.3,1.2,11.7,26.0,23.0,CHO,NBA,43.0,13.0,759.0,7.8,16.5,5.4,10.9,2.4,5.6,2.2,2.9,0.5,5.2,5.7,3.0,0.8,0.3,1.2,4.6,20.2,0.475,0.494,0.4370000000000001,0.5489999999999999,0.7390000000000001,0.57,2018,SG
20,Marvin Bagley,110,2018-19,111.0,24.2,0.1,3.6,18.9,27.0,19.0,SAC,NBA,62.0,4.0,1567.0,10.6,21.0,9.7,18.1,0.9,2.9,5.4,7.8,4.8,9.2,14.0,1.8,1.0,1.8,2.9,3.6,27.4,0.504,0.534,0.313,0.525,0.691,0.562,2018,PF
21,Lonzo Ball,109,2018-19,100.0,16.9,0.9,1.6,11.7,30.0,21.0,LAL,NBA,47.0,45.0,1423.0,6.0,14.9,3.6,7.5,2.5,7.5,0.7,1.6,1.8,6.4,8.2,8.3,2.3,0.6,3.4,3.7,15.2,0.406,0.48200000000000004,0.32899999999999996,0.488,0.41700000000000004,0.48700000000000004,2018,PG
22,Mohamed Bamba,103,2018-19,105.0,17.8,0.4,1.7,14.9,31.0,20.0,ORL,NBA,47.0,1.0,766.0,7.5,15.5,6.1,11.1,1.3,4.5,2.4,4.0,4.1,10.8,14.9,2.5,0.8,4.1,2.7,6.5,18.7,0.48100000000000004,0.555,0.3,0.525,0.5870000000000001,0.539,2018,C
23,J.J. Barea,113,2018-19,105.0,28.1,0.2,1.0,16.3,32.0,34.0,DAL,NBA,38.0,0.0,752.0,10.4,24.8,7.9,16.6,2.5,8.3,3.5,5.0,0.8,5.3,6.1,13.6,1.4,0.1,4.6,3.2,26.8,0.418,0.479,0.297,0.46799999999999997,0.705,0.495,2018,PG
24,Harrison Barnes,114,2018-19,108.0,20.9,-0.2,3.6,12.8,33.0,26.0,TOT,NBA,77.0,77.0,2533.0,8.1,19.4,4.8,11.0,3.3,8.3,4.3,5.2,1.1,5.7,6.8,2.2,0.9,0.2,1.8,2.3,23.8,0.42,0.439,0.395,0.504,0.8240000000000001,0.55,2018,PF-SF
25,Harrison Barnes,114,2018-19,108.0,20.9,-0.2,3.6,12.8,33.0,26.0,TOT,NBA,77.0,77.0,2533.0,8.1,19.4,4.8,11.0,3.3,8.3,4.3,5.2,1.1,5.7,6.8,2.2,0.9,0.2,1.8,2.3,23.8,0.42,0.439,0.395,0.504,0.8240000000000001,0.55,2018,PF
26,Harrison Barnes,114,2018-19,108.0,20.9,-0.2,3.6,12.8,33.0,26.0,TOT,NBA,77.0,77.0,2533.0,8.1,19.4,4.8,11.0,3.3,8.3,4.3,5.2,1.1,5.7,6.8,2.2,0.9,0.2,1.8,2.3,23.8,0.42,0.439,0.395,0.504,0.8240000000000001,0.55,2018,SF
27,Will Barton,111,2018-19,102.0,20.0,-0.1,1.2,11.0,34.0,28.0,DEN,NBA,43.0,38.0,1189.0,7.6,19.0,4.9,10.9,2.8,8.1,2.4,3.1,1.3,6.9,8.2,5.1,0.7,0.9,2.7,3.4,20.4,0.402,0.447,0.342,0.475,0.77,0.501,2018,SG
28,Keita Bates-Diop,113,2018-19,100.0,14.1,-0.1,0.3,9.6,35.0,23.0,MIN,NBA,30.0,3.0,503.0,5.7,13.5,4.5,8.6,1.2,5.0,1.7,2.7,1.5,6.4,7.9,1.6,1.7,1.3,1.3,2.8,14.4,0.423,0.522,0.25,0.46799999999999997,0.643,0.489,2018,SF
29,Nicolas Batum,113,2018-19,112.0,13.2,1.7,3.7,11.9,36.0,30.0,CHO,NBA,75.0,72.0,2354.0,5.2,11.6,2.8,5.5,2.4,6.2,1.6,1.8,1.5,6.6,8.1,5.1,1.5,0.9,2.4,2.9,14.4,0.45,0.519,0.389,0.5529999999999999,0.865,0.581,2018,SF
30,Jerryd Bayless,117,2018-19,98.0,17.6,-0.5,0.0,8.5,37.0,30.0,MIN,NBA,34.0,6.0,657.0,6.0,16.8,3.9,9.6,2.1,7.1,1.2,2.0,0.8,3.7,4.5,8.7,1.3,0.1,2.3,4.1,15.2,0.35700000000000004,0.402,0.29600000000000004,0.42,0.5710000000000001,0.431,2018,PG
31,Aron Baynes,108,2018-19,118.0,15.2,0.5,2.4,14.0,38.0,32.0,BOS,NBA,51.0,18.0,821.0,6.2,13.1,4.9,9.5,1.2,3.6,3.1,3.6,5.2,8.9,14.1,3.3,0.7,2.0,2.3,7.3,16.7,0.47100000000000003,0.519,0.344,0.518,0.855,0.5670000000000001,2018,C
32,Kent Bazemore,112,2018-19,98.0,22.0,-0.1,0.7,11.9,39.0,29.0,ATL,NBA,67.0,35.0,1643.0,7.8,19.4,5.1,11.0,2.7,8.4,3.6,4.9,1.0,6.3,7.3,4.3,2.5,1.2,3.4,4.8,21.9,0.402,0.465,0.32,0.47200000000000003,0.726,0.507,2018,SG
33,Bradley Beal,114,2018-19,113.0,28.4,3.7,7.6,20.8,40.0,25.0,WAS,NBA,82.0,82.0,3028.0,11.9,25.2,8.7,15.8,3.3,9.3,5.7,7.0,1.4,5.0,6.4,7.0,1.9,0.9,3.5,3.5,32.8,0.475,0.5479999999999999,0.35100000000000003,0.54,0.8079999999999999,0.581,2018,SG
34,Malik Beasley,112,2018-19,117.0,18.7,0.7,4.5,14.2,41.0,22.0,DEN,NBA,81.0,18.0,1879.0,9.1,19.3,4.9,8.7,4.3,10.6,1.5,1.7,0.9,4.3,5.2,2.5,1.4,0.3,1.4,3.0,24.0,0.474,0.56,0.402,0.584,0.848,0.599,2018,SG
35,Marco Belinelli,114,2018-19,109.0,19.8,0.0,2.5,11.9,43.0,32.0,SAS,NBA,79.0,1.0,1815.0,7.7,18.6,3.7,7.9,4.0,10.6,3.0,3.3,0.4,4.9,5.3,3.6,0.9,0.2,1.9,3.3,22.3,0.413,0.46799999999999997,0.3720000000000001,0.52,0.903,0.557,2018,SG
36,Jordan Bell,108,2018-19,109.0,13.7,0.3,1.6,12.9,44.0,24.0,GSW,NBA,68.0,3.0,788.0,6.0,11.6,6.0,11.5,0.0,0.1,1.5,2.5,3.3,7.8,11.1,4.6,1.2,3.1,2.5,4.8,13.5,0.516,0.521,0.0,0.516,0.61,0.531,2018,C
37,DeAndre' Bembry,112,2018-19,97.0,17.2,-0.1,0.9,10.8,45.0,24.0,ATL,NBA,82.0,15.0,1931.0,6.6,14.7,5.4,10.6,1.2,4.1,2.1,3.3,1.3,7.3,8.6,4.8,2.5,1.0,3.4,4.5,16.4,0.446,0.508,0.289,0.48700000000000004,0.64,0.508,2018,SG
38,Dragan Bender,115,2018-19,102.0,13.4,-0.3,0.5,9.5,46.0,21.0,PHO,NBA,46.0,27.0,826.0,5.1,11.4,3.8,5.5,1.3,5.8,1.8,3.1,2.0,8.6,10.6,3.2,1.0,1.3,2.1,5.2,13.3,0.447,0.688,0.218,0.503,0.593,0.521,2018,PF
39,Dāvis Bertāns,112,2018-19,122.0,14.1,1.3,4.0,13.0,48.0,26.0,SAS,NBA,76.0,12.0,1632.0,6.1,13.6,1.8,3.4,4.3,10.1,1.6,1.8,0.7,7.2,7.9,3.0,1.0,1.0,1.3,4.0,18.1,0.45,0.513,0.429,0.61,0.883,0.632,2018,PF
40,Patrick Beverley,111,2018-19,119.0,12.2,2.3,4.8,11.8,49.0,30.0,LAC,NBA,78.0,49.0,2137.0,4.3,10.5,1.8,4.3,2.5,6.2,2.1,2.7,1.7,6.9,8.6,6.6,1.5,0.9,1.9,5.9,13.2,0.40700000000000003,0.42100000000000004,0.397,0.524,0.78,0.561,2018,PG
41,Khem Birch,106,2018-19,134.0,14.1,0.7,2.8,19.2,50.0,26.0,ORL,NBA,50.0,1.0,643.0,6.9,11.5,6.9,11.4,0.0,0.1,4.4,6.3,6.0,8.4,14.5,2.9,1.4,2.2,1.5,5.5,18.3,0.603,0.607,0.0,0.603,0.6990000000000001,0.64,2018,C
42,Bismack Biyombo,110,2018-19,121.0,12.7,0.2,2.0,14.4,51.0,26.0,CHO,NBA,54.0,32.0,783.0,5.5,9.7,5.5,9.7,0.0,0.0,3.6,5.7,5.0,10.3,15.3,2.0,0.7,2.5,2.1,6.4,14.7,0.5710000000000001,0.5710000000000001,0.0,0.5710000000000001,0.637,0.602,2018,C
43,Nemanja Bjelica,110,2018-19,117.0,16.5,1.8,4.5,15.4,52.0,30.0,SAC,NBA,77.0,70.0,1788.0,7.4,15.4,4.7,8.7,2.7,6.7,1.8,2.4,3.3,8.3,11.6,3.8,1.4,1.5,2.1,5.1,19.3,0.479,0.539,0.401,0.5660000000000001,0.7609999999999999,0.585,2018,PF
44,Antonio Blakeney,116,2018-19,94.0,24.5,-1.3,-0.5,10.6,53.0,22.0,CHI,NBA,57.0,3.0,829.0,9.7,23.2,7.6,17.8,2.1,5.3,2.9,4.4,0.4,5.8,6.2,2.5,0.7,0.5,2.0,2.4,24.5,0.419,0.426,0.396,0.465,0.6579999999999999,0.48700000000000004,2018,SG
45,Eric Bledsoe,105,2018-19,116.0,22.9,3.2,8.2,19.3,54.0,29.0,MIL,NBA,78.0,78.0,2272.0,9.6,19.9,7.1,12.2,2.5,7.7,3.6,4.8,1.7,5.7,7.4,8.8,2.4,0.6,3.4,3.2,25.4,0.484,0.5820000000000001,0.32899999999999996,0.5479999999999999,0.75,0.5770000000000001,2018,PG
46,Jaron Blossomgame,118,2018-19,108.0,12.2,-0.3,0.3,10.2,55.0,25.0,CLE,NBA,27.0,4.0,439.0,5.3,12.0,4.2,7.6,1.1,4.4,1.1,1.5,2.9,8.1,11.1,1.5,0.8,0.9,1.2,2.3,12.9,0.44299999999999995,0.552,0.256,0.491,0.769,0.51,2018,SF
47,Bogdan Bogdanović,113,2018-19,107.0,22.3,0.6,2.7,14.1,56.0,26.0,SAC,NBA,70.0,17.0,1947.0,8.6,20.6,5.4,11.7,3.2,8.9,3.2,3.9,1.0,4.9,5.8,6.4,1.7,0.4,2.8,3.4,23.7,0.418,0.462,0.36,0.496,0.8270000000000001,0.53,2018,SG
48,Bojan Bogdanović,110,2018-19,114.0,22.4,1.3,6.8,16.1,57.0,29.0,IND,NBA,81.0,81.0,2573.0,9.9,20.0,6.8,12.6,3.1,7.3,4.7,5.8,0.6,5.7,6.3,3.1,1.3,0.0,2.5,2.6,27.6,0.4970000000000001,0.5379999999999999,0.425,0.575,0.807,0.613,2018,SF
49,Jonah Bolden,107,2018-19,111.0,13.8,0.5,1.4,12.7,59.0,23.0,PHI,NBA,44.0,10.0,639.0,5.9,12.0,3.4,4.9,2.5,7.1,1.0,2.0,3.5,8.7,12.2,3.0,1.3,2.9,2.7,7.3,15.3,0.494,0.6970000000000001,0.354,0.599,0.48100000000000004,0.595,2018,PF
50,Devin Booker,118,2018-19,109.0,32.9,1.6,3.5,20.2,61.0,22.0,PHO,NBA,64.0,64.0,2242.0,12.5,26.7,9.6,17.9,2.9,8.8,8.4,9.7,0.8,4.8,5.6,9.2,1.2,0.3,5.6,4.3,36.2,0.467,0.536,0.326,0.521,0.866,0.584,2018,SG
51,Avery Bradley,115,2018-19,98.0,16.2,-0.4,0.3,7.6,63.0,28.0,TOT,NBA,63.0,63.0,1905.0,6.2,15.2,4.1,9.1,2.2,6.1,1.1,1.3,1.1,3.3,4.4,3.8,1.0,0.4,2.2,4.2,15.7,0.408,0.446,0.35100000000000003,0.479,0.86,0.496,2018,SG
52,Avery Bradley,115,2018-19,98.0,16.2,-0.4,0.3,7.6,63.0,28.0,TOT,NBA,63.0,63.0,1905.0,6.2,15.2,4.1,9.1,2.2,6.1,1.1,1.3,1.1,3.3,4.4,3.8,1.0,0.4,2.2,4.2,15.7,0.408,0.446,0.35100000000000003,0.479,0.86,0.496,2018,SG
53,Avery Bradley,115,2018-19,98.0,16.2,-0.4,0.3,7.6,63.0,28.0,TOT,NBA,63.0,63.0,1905.0,6.2,15.2,4.1,9.1,2.2,6.1,1.1,1.3,1.1,3.3,4.4,3.8,1.0,0.4,2.2,4.2,15.7,0.408,0.446,0.35100000000000003,0.479,0.86,0.496,2018,SG
54,Corey Brewer,109,2018-19,112.0,13.6,0.2,1.0,11.6,65.0,32.0,TOT,NBA,31.0,3.0,492.0,5.0,11.7,3.7,7.5,1.3,4.2,2.9,4.1,2.5,4.7,7.2,3.7,3.0,0.7,1.8,6.0,14.3,0.431,0.494,0.318,0.488,0.721,0.532,2018,SF
55,Corey Brewer,109,2018-19,112.0,13.6,0.2,1.0,11.6,65.0,32.0,TOT,NBA,31.0,3.0,492.0,5.0,11.7,3.7,7.5,1.3,4.2,2.9,4.1,2.5,4.7,7.2,3.7,3.0,0.7,1.8,6.0,14.3,0.431,0.494,0.318,0.488,0.721,0.532,2018,SF
56,Corey Brewer,109,2018-19,112.0,13.6,0.2,1.0,11.6,65.0,32.0,TOT,NBA,31.0,3.0,492.0,5.0,11.7,3.7,7.5,1.3,4.2,2.9,4.1,2.5,4.7,7.2,3.7,3.0,0.7,1.8,6.0,14.3,0.431,0.494,0.318,0.488,0.721,0.532,2018,SF
57,Mikal Bridges,115,2018-19,112.0,12.2,1.1,2.9,10.8,66.0,22.0,PHO,NBA,82.0,56.0,2417.0,4.8,11.1,2.7,4.9,2.1,6.2,1.9,2.3,1.1,4.1,5.2,3.4,2.5,0.8,1.4,4.0,13.5,0.43,0.5479999999999999,0.335,0.523,0.805,0.556,2018,SF
58,Miles Bridges,112,2018-19,111.0,15.1,0.6,2.9,13.1,67.0,20.0,CHO,NBA,80.0,25.0,1696.0,6.8,14.7,4.9,8.9,1.9,5.7,1.7,2.2,1.9,7.3,9.3,2.7,1.6,1.4,1.4,3.2,17.1,0.46399999999999997,0.5529999999999999,0.325,0.527,0.753,0.5479999999999999,2018,SF
59,Isaiah Briscoe,111,2018-19,96.0,14.1,-0.5,0.3,6.7,68.0,22.0,ORL,NBA,39.0,0.0,559.0,4.8,12.1,3.9,9.1,1.0,3.0,1.3,2.3,0.4,6.0,6.5,7.6,1.0,0.2,2.7,5.8,11.9,0.39899999999999997,0.423,0.324,0.43799999999999994,0.5770000000000001,0.455,2018,PG
60,Ryan Broekhoff,114,2018-19,116.0,14.3,0.0,0.8,10.7,69.0,28.0,DAL,NBA,42.0,0.0,453.0,6.1,13.5,2.0,3.5,4.1,10.0,1.6,2.0,0.9,5.9,6.7,2.4,0.6,0.4,1.7,3.7,17.9,0.452,0.5760000000000001,0.409,0.603,0.789,0.621,2018,SG
