Unnamed: 0,Player,DRtg,Season,ORtg,USG%,VORP,WS,PER,Rk,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Year,Pos
1872,Cody Zeller,102,2015-16,119.0,15.4,1.3,6.3,16.1,2031.0,23.0,CHO,NBA,73.0,60.0,1774.0,6.5,12.4,6.5,12.1,0.0,0.3,4.9,6.6,3.9,9.0,12.9,2.0,1.6,1.8,1.9,5.8,18.0,0.529,0.539,0.1,0.53,0.754,0.5920000000000001,2015,C
1873,Tyler Zeller,105,2015-16,106.0,23.0,-0.4,1.7,15.4,2032.0,26.0,BOS,NBA,60.0,3.0,710.0,9.5,19.9,9.5,19.9,0.0,0.0,6.0,7.4,4.3,8.0,12.2,2.0,0.7,1.5,3.2,6.7,25.0,0.47600000000000003,0.47600000000000003,0.0,0.47600000000000003,0.815,0.539,2015,C
1874,Quincy Acy,109,2014-15,105.0,15.5,-0.3,1.7,11.9,2033.0,24.0,NYK,NBA,68.0,22.0,1287.0,6.2,13.5,5.5,11.1,0.7,2.5,3.1,4.0,3.2,9.1,12.3,2.8,1.1,0.9,2.5,6.0,16.3,0.45899999999999996,0.494,0.3,0.486,0.784,0.5329999999999999,2014,PF
1875,Steven Adams,104,2014-15,108.0,14.3,1.1,4.1,14.1,2035.0,21.0,OKC,NBA,70.0,67.0,1771.0,6.1,11.3,6.1,11.2,0.0,0.1,2.9,5.8,5.6,9.2,14.8,1.9,1.1,2.4,2.8,6.3,15.2,0.544,0.547,0.0,0.544,0.502,0.5489999999999999,2014,C
1876,Arron Afflalo,111,2014-15,103.0,19.0,0.1,2.6,10.7,2037.0,29.0,TOT,NBA,78.0,72.0,2502.0,7.5,17.8,5.2,11.1,2.4,6.7,3.4,4.0,0.5,4.4,5.0,2.6,0.8,0.1,2.3,3.4,20.8,0.424,0.466,0.354,0.491,0.843,0.5329999999999999,2014,SG
1877,Arron Afflalo,111,2014-15,103.0,19.0,0.1,2.6,10.7,2037.0,29.0,TOT,NBA,78.0,72.0,2502.0,7.5,17.8,5.2,11.1,2.4,6.7,3.4,4.0,0.5,4.4,5.0,2.6,0.8,0.1,2.3,3.4,20.8,0.424,0.466,0.354,0.491,0.843,0.5329999999999999,2014,SG
1878,Arron Afflalo,111,2014-15,103.0,19.0,0.1,2.6,10.7,2037.0,29.0,TOT,NBA,78.0,72.0,2502.0,7.5,17.8,5.2,11.1,2.4,6.7,3.4,4.0,0.5,4.4,5.0,2.6,0.8,0.1,2.3,3.4,20.8,0.424,0.466,0.354,0.491,0.843,0.5329999999999999,2014,SG
1879,Alexis Ajinça,103,2014-15,113.0,21.1,0.5,3.2,19.9,2038.0,26.0,NOP,NBA,68.0,8.0,957.0,9.9,18.1,9.9,18.1,0.0,0.0,4.4,5.4,5.7,11.6,17.3,2.6,1.2,2.8,3.8,8.3,24.3,0.55,0.55,0.0,0.55,0.818,0.595,2014,C
1880,Furkan Aldemir,104,2014-15,117.0,8.6,0.2,1.4,12.0,2039.0,23.0,PHI,NBA,41.0,9.0,540.0,3.7,7.2,3.7,6.8,0.0,0.5,1.2,2.5,7.2,9.1,16.3,2.6,1.6,1.5,1.6,8.9,8.6,0.513,0.5479999999999999,0.0,0.513,0.48100000000000004,0.517,2014,PF
1881,Cole Aldrich,102,2014-15,104.0,18.3,0.7,2.2,18.1,2040.0,26.0,NYK,NBA,61.0,16.0,976.0,7.8,16.2,7.8,16.2,0.0,0.0,2.7,3.5,5.4,12.8,18.2,4.0,2.0,3.5,3.2,6.6,18.2,0.478,0.478,0.0,0.478,0.7809999999999999,0.513,2014,C
1882,LaMarcus Aldridge,102,2014-15,108.0,30.2,1.4,8.6,22.8,2041.0,29.0,POR,NBA,71.0,71.0,2512.0,13.4,28.7,12.6,26.6,0.8,2.1,6.2,7.3,3.6,11.1,14.7,2.5,1.0,1.4,2.5,2.5,33.7,0.466,0.475,0.35200000000000004,0.479,0.845,0.528,2014,PF
1883,Lavoy Allen,102,2014-15,109.0,15.2,0.8,2.8,14.9,2042.0,25.0,IND,NBA,63.0,0.0,1070.0,6.8,14.4,6.8,14.4,0.0,0.0,1.6,2.3,5.9,9.6,15.6,3.5,0.7,2.0,1.9,4.9,15.2,0.47200000000000003,0.47200000000000003,0.0,0.47200000000000003,0.7020000000000001,0.493,2014,C
1884,Tony Allen,98,2014-15,103.0,16.6,2.2,4.1,14.6,2043.0,33.0,MEM,NBA,63.0,41.0,1648.0,7.1,14.4,6.8,13.5,0.3,0.9,2.5,4.0,3.3,5.6,8.9,2.7,4.1,1.0,2.7,5.3,17.1,0.495,0.505,0.345,0.505,0.627,0.528,2014,SG
1885,Al-Farouq Aminu,102,2014-15,107.0,15.2,1.5,3.3,14.4,2044.0,24.0,DAL,NBA,74.0,3.0,1366.0,5.4,13.2,4.2,8.6,1.3,4.6,3.1,4.4,4.2,8.4,12.6,2.2,2.6,2.3,2.0,5.1,15.2,0.41200000000000003,0.485,0.27399999999999997,0.45899999999999996,0.7120000000000001,0.504,2014,SF
1886,Lou Amundson,106,2014-15,92.0,17.4,0.0,0.3,11.8,2045.0,32.0,TOT,NBA,53.0,35.0,937.0,6.1,14.3,6.1,14.3,0.0,0.1,2.3,4.9,5.3,9.8,15.0,3.9,1.2,2.9,3.5,7.1,14.5,0.4270000000000001,0.429,0.0,0.4270000000000001,0.47100000000000003,0.442,2014,PF
1887,Lou Amundson,106,2014-15,92.0,17.4,0.0,0.3,11.8,2045.0,32.0,TOT,NBA,53.0,35.0,937.0,6.1,14.3,6.1,14.3,0.0,0.1,2.3,4.9,5.3,9.8,15.0,3.9,1.2,2.9,3.5,7.1,14.5,0.4270000000000001,0.429,0.0,0.4270000000000001,0.47100000000000003,0.442,2014,PF
1888,Lou Amundson,106,2014-15,92.0,17.4,0.0,0.3,11.8,2045.0,32.0,TOT,NBA,53.0,35.0,937.0,6.1,14.3,6.1,14.3,0.0,0.1,2.3,4.9,5.3,9.8,15.0,3.9,1.2,2.9,3.5,7.1,14.5,0.4270000000000001,0.429,0.0,0.4270000000000001,0.47100000000000003,0.442,2014,PF
1889,Chris Andersen,103,2014-15,121.0,12.3,0.9,3.6,16.1,2046.0,36.0,MIA,NBA,60.0,20.0,1132.0,5.6,9.7,5.4,9.0,0.2,0.6,3.5,5.3,3.5,10.4,13.9,2.0,1.2,2.8,1.9,4.1,14.9,0.58,0.598,0.308,0.589,0.667,0.622,2014,C
1890,Alan Anderson,109,2014-15,109.0,14.2,0.6,2.7,10.6,2047.0,32.0,BRK,NBA,74.0,19.0,1744.0,5.8,13.1,3.6,6.8,2.2,6.2,2.4,3.0,0.9,5.1,6.1,2.5,1.7,0.1,1.8,4.4,16.2,0.44299999999999995,0.53,0.348,0.526,0.812,0.563,2014,SG
1891,Ryan Anderson,110,2014-15,109.0,23.4,0.4,3.5,15.6,2049.0,26.0,NOP,NBA,61.0,5.0,1675.0,9.1,22.9,5.3,11.6,3.8,11.3,4.0,4.7,3.4,5.9,9.3,1.7,1.0,0.6,1.9,3.5,26.1,0.39899999999999997,0.457,0.34,0.483,0.8540000000000001,0.524,2014,PF
1892,Giannis Antetokounmpo,101,2014-15,105.0,19.6,1.6,6.2,14.8,2050.0,20.0,MIL,NBA,81.0,71.0,2541.0,7.7,15.7,7.5,14.8,0.1,0.9,5.2,7.0,2.0,8.9,10.9,4.2,1.5,1.7,3.5,5.1,20.7,0.491,0.511,0.159,0.496,0.741,0.552,2014,SG
1893,Carmelo Anthony,110,2014-15,106.0,32.2,1.2,2.9,21.5,2051.0,30.0,NYK,NBA,40.0,40.0,1428.0,13.2,29.7,10.9,23.1,2.2,6.6,7.0,8.7,2.7,7.1,9.7,4.5,1.5,0.6,3.3,3.2,35.6,0.444,0.474,0.341,0.48200000000000004,0.797,0.531,2014,SF
1894,Joel Anthony,100,2014-15,119.0,9.1,0.3,1.2,14.7,2052.0,32.0,DET,NBA,49.0,0.0,406.0,4.6,7.9,4.6,7.9,0.0,0.0,1.9,2.8,4.1,7.8,11.8,0.6,1.5,6.2,1.5,7.0,11.1,0.581,0.581,0.0,0.581,0.682,0.607,2014,C
1895,Pero Antić,106,2014-15,102.0,17.6,-0.2,1.5,9.5,2053.0,32.0,ATL,NBA,63.0,3.0,1037.0,5.3,14.6,2.8,6.1,2.6,8.5,4.3,6.1,2.9,6.5,9.3,2.4,0.9,0.7,2.4,6.5,17.5,0.365,0.455,0.301,0.45299999999999996,0.715,0.508,2014,C
1896,Trevor Ariza,103,2014-15,107.0,16.5,2.9,6.6,12.7,2054.0,29.0,HOU,NBA,82.0,82.0,2930.0,6.2,15.4,2.9,6.0,3.3,9.4,2.1,2.4,1.3,6.5,7.8,3.5,2.6,0.3,2.4,3.2,17.8,0.402,0.485,0.35,0.509,0.853,0.539,2014,SF
1897,Darrell Arthur,106,2014-15,97.0,20.0,0.2,0.9,11.5,2055.0,26.0,DEN,NBA,58.0,4.0,988.0,7.8,19.4,6.5,13.9,1.3,5.6,2.3,3.0,2.7,6.0,8.6,2.9,2.4,1.3,2.4,7.4,19.3,0.40399999999999997,0.47100000000000003,0.23600000000000002,0.43799999999999994,0.78,0.466,2014,PF
1898,Ömer Aşık,105,2014-15,112.0,14.0,0.6,5.0,15.5,2056.0,28.0,NOP,NBA,76.0,76.0,1982.0,5.6,10.9,5.6,10.9,0.0,0.0,3.5,6.0,6.5,13.4,19.8,1.9,0.8,1.4,2.5,3.8,14.8,0.517,0.517,0.0,0.517,0.5820000000000001,0.545,2014,C
1899,D.J. Augustin,110,2014-15,107.0,19.8,-0.3,3.4,13.9,2057.0,27.0,TOT,NBA,82.0,14.0,1964.0,6.7,16.9,4.6,10.4,2.2,6.4,4.6,5.3,0.5,3.7,4.2,9.2,1.3,0.1,3.8,2.4,20.2,0.39899999999999997,0.436,0.337,0.46299999999999997,0.868,0.527,2014,PG
1900,D.J. Augustin,110,2014-15,107.0,19.8,-0.3,3.4,13.9,2057.0,27.0,TOT,NBA,82.0,14.0,1964.0,6.7,16.9,4.6,10.4,2.2,6.4,4.6,5.3,0.5,3.7,4.2,9.2,1.3,0.1,3.8,2.4,20.2,0.39899999999999997,0.436,0.337,0.46299999999999997,0.868,0.527,2014,PG
1901,D.J. Augustin,110,2014-15,107.0,19.8,-0.3,3.4,13.9,2057.0,27.0,TOT,NBA,82.0,14.0,1964.0,6.7,16.9,4.6,10.4,2.2,6.4,4.6,5.3,0.5,3.7,4.2,9.2,1.3,0.1,3.8,2.4,20.2,0.39899999999999997,0.436,0.337,0.46299999999999997,0.868,0.527,2014,PG
1902,Luke Babbitt,110,2014-15,117.0,12.4,0.1,1.6,11.1,2059.0,25.0,NOP,NBA,63.0,19.0,830.0,5.8,12.2,2.1,4.9,3.7,7.3,0.8,1.2,0.8,6.3,7.0,1.5,1.1,0.7,1.6,4.0,16.2,0.479,0.429,0.513,0.633,0.684,0.639,2014,SF
1903,Leandro Barbosa,104,2014-15,111.0,20.5,0.3,2.8,15.3,2061.0,32.0,GSW,NBA,66.0,1.0,982.0,9.1,19.2,7.0,13.6,2.1,5.6,2.9,3.7,1.1,3.4,4.5,4.9,2.0,0.4,2.2,4.3,23.2,0.474,0.511,0.384,0.53,0.784,0.5579999999999999,2014,SG
1904,J.J. Barea,110,2014-15,109.0,21.2,0.2,2.7,15.1,2062.0,30.0,DAL,NBA,77.0,10.0,1362.0,8.3,19.8,6.3,13.7,2.0,6.2,2.8,3.5,0.9,4.1,5.0,9.7,1.2,0.0,2.6,3.9,21.5,0.42,0.46299999999999997,0.32299999999999995,0.47,0.809,0.502,2014,PG
1905,Andrea Bargnani,113,2014-15,104.0,26.4,-0.3,0.9,16.6,2063.0,29.0,NYK,NBA,29.0,22.0,785.0,11.0,24.2,10.0,21.5,1.0,2.7,5.8,7.2,2.1,6.4,8.5,3.1,0.1,1.8,2.8,3.6,28.8,0.45399999999999996,0.466,0.366,0.475,0.813,0.527,2014,C
1906,Harrison Barnes,104,2014-15,116.0,14.9,1.8,6.7,13.4,2064.0,22.0,GSW,NBA,82.0,82.0,2318.0,6.7,13.8,4.8,9.3,1.8,4.5,2.3,3.2,2.5,7.1,9.5,2.4,1.3,0.4,1.5,3.1,17.4,0.48200000000000004,0.519,0.405,0.5479999999999999,0.72,0.573,2014,SF
1907,Matt Barnes,107,2014-15,108.0,14.9,2.1,4.3,11.3,2065.0,34.0,LAC,NBA,76.0,74.0,2271.0,6.2,13.9,3.1,5.5,3.0,8.4,1.7,2.1,1.1,5.6,6.7,2.5,1.5,1.1,1.9,5.4,17.1,0.444,0.569,0.36200000000000004,0.5529999999999999,0.779,0.574,2014,SF
1908,Will Barton,105,2014-15,99.0,20.2,0.3,1.3,13.6,2067.0,24.0,TOT,NBA,58.0,0.0,983.0,7.7,18.0,6.5,13.7,1.2,4.3,3.8,4.8,1.3,7.0,8.3,4.1,2.5,1.0,3.1,3.6,20.3,0.425,0.474,0.271,0.45799999999999996,0.787,0.503,2014,SG
1909,Will Barton,105,2014-15,99.0,20.2,0.3,1.3,13.6,2067.0,24.0,TOT,NBA,58.0,0.0,983.0,7.7,18.0,6.5,13.7,1.2,4.3,3.8,4.8,1.3,7.0,8.3,4.1,2.5,1.0,3.1,3.6,20.3,0.425,0.474,0.271,0.45799999999999996,0.787,0.503,2014,SG
1910,Will Barton,105,2014-15,99.0,20.2,0.3,1.3,13.6,2067.0,24.0,TOT,NBA,58.0,0.0,983.0,7.7,18.0,6.5,13.7,1.2,4.3,3.8,4.8,1.3,7.0,8.3,4.1,2.5,1.0,3.1,3.6,20.3,0.425,0.474,0.271,0.45799999999999996,0.787,0.503,2014,SG
1911,Brandon Bass,106,2014-15,112.0,19.5,0.7,5.3,16.3,2068.0,29.0,BOS,NBA,82.0,43.0,1929.0,8.9,17.7,8.7,16.9,0.2,0.8,4.4,5.6,3.6,6.7,10.3,2.7,1.1,0.8,2.2,3.6,22.5,0.504,0.515,0.281,0.51,0.79,0.557,2014,PF
1912,Nicolas Batum,103,2014-15,106.0,14.6,3.1,5.2,13.1,2069.0,26.0,POR,NBA,71.0,71.0,2380.0,5.1,12.8,3.0,6.2,2.1,6.6,1.8,2.1,1.3,7.6,8.9,7.3,1.7,0.9,2.8,2.3,14.2,0.4,0.48100000000000004,0.324,0.483,0.857,0.516,2014,SF
1913,Jerryd Bayless,104,2014-15,99.0,18.6,-0.3,2.4,11.1,2070.0,26.0,MIL,NBA,77.0,4.0,1717.0,6.5,15.3,5.4,11.8,1.1,3.6,3.6,4.1,0.7,5.6,6.3,6.9,1.8,0.4,4.0,4.8,17.8,0.426,0.462,0.308,0.462,0.883,0.519,2014,PG
1914,Aron Baynes,103,2014-15,116.0,17.8,0.3,3.9,15.9,2071.0,28.0,SAS,NBA,70.0,17.0,1122.0,8.4,14.9,8.4,14.7,0.0,0.2,4.1,4.7,5.0,9.5,14.5,1.6,0.7,1.0,3.0,7.4,21.0,0.5660000000000001,0.57,0.25,0.5670000000000001,0.865,0.618,2014,C
1915,Kent Bazemore,102,2014-15,94.0,15.5,0.1,1.6,9.7,2072.0,25.0,ATL,NBA,75.0,10.0,1324.0,5.4,12.8,3.6,7.7,1.9,5.1,2.3,3.9,0.8,7.8,8.6,3.0,2.0,1.3,2.8,4.9,15.1,0.426,0.467,0.364,0.498,0.6,0.52,2014,SG
1916,Bradley Beal,105,2014-15,102.0,22.5,1.3,3.7,14.0,2073.0,21.0,WAS,NBA,63.0,59.0,2107.0,8.8,20.7,6.2,14.4,2.6,6.3,3.2,4.0,1.4,4.5,5.9,4.7,1.8,0.4,3.0,3.3,23.4,0.4270000000000001,0.434,0.409,0.489,0.7829999999999999,0.521,2014,SG
1917,Michael Beasley,106,2014-15,89.0,24.2,-0.3,-0.1,10.6,2074.0,26.0,MIA,NBA,24.0,1.0,505.0,9.6,22.2,8.8,18.6,0.8,3.6,2.1,2.7,1.3,8.1,9.3,3.3,1.6,1.4,3.9,6.9,22.2,0.434,0.47200000000000003,0.235,0.45299999999999996,0.769,0.474,2014,PF
1918,Marco Belinelli,106,2014-15,107.0,18.8,0.5,2.9,12.4,2075.0,28.0,SAS,NBA,62.0,9.0,1388.0,7.3,17.3,4.2,8.9,3.2,8.5,3.1,3.7,1.0,4.8,5.8,3.5,1.1,0.1,2.2,3.1,20.9,0.423,0.47100000000000003,0.374,0.515,0.848,0.5529999999999999,2014,SG
1919,Anthony Bennett,111,2014-15,96.0,17.8,-0.6,0.3,11.4,2077.0,21.0,MIN,NBA,57.0,3.0,894.0,7.1,16.9,6.7,15.6,0.4,1.3,2.3,3.6,3.0,9.3,12.3,2.7,1.5,0.9,2.0,4.9,16.9,0.42100000000000004,0.431,0.304,0.433,0.6409999999999999,0.45799999999999996,2014,PF
1920,Patrick Beverley,106,2014-15,107.0,16.1,1.2,3.5,11.3,2078.0,26.0,HOU,NBA,56.0,55.0,1727.0,5.9,15.3,2.6,6.0,3.3,9.3,1.3,1.7,1.9,4.9,6.8,5.5,1.7,0.7,2.4,5.2,16.4,0.38299999999999995,0.426,0.35600000000000004,0.4920000000000001,0.75,0.509,2014,PG
1921,Bismack Biyombo,99,2014-15,115.0,11.6,0.5,4.0,15.2,2080.0,22.0,CHO,NBA,64.0,21.0,1243.0,4.2,7.7,4.2,7.7,0.0,0.0,4.2,7.3,6.6,10.3,16.9,0.7,0.7,4.1,2.2,5.8,12.6,0.5429999999999999,0.5429999999999999,0.0,0.5429999999999999,0.583,0.578,2014,C
1922,Tarik Black,108,2014-15,118.0,13.8,0.1,3.1,14.7,2081.0,23.0,TOT,NBA,63.0,39.0,1196.0,6.6,11.6,6.6,11.5,0.0,0.0,2.8,5.0,6.0,9.6,15.6,1.8,0.8,1.0,2.0,6.7,16.0,0.575,0.5770000000000001,0.0,0.575,0.551,0.583,2014,C
1923,Tarik Black,108,2014-15,118.0,13.8,0.1,3.1,14.7,2081.0,23.0,TOT,NBA,63.0,39.0,1196.0,6.6,11.6,6.6,11.5,0.0,0.0,2.8,5.0,6.0,9.6,15.6,1.8,0.8,1.0,2.0,6.7,16.0,0.575,0.5770000000000001,0.0,0.575,0.551,0.583,2014,C
1924,Tarik Black,108,2014-15,118.0,13.8,0.1,3.1,14.7,2081.0,23.0,TOT,NBA,63.0,39.0,1196.0,6.6,11.6,6.6,11.5,0.0,0.0,2.8,5.0,6.0,9.6,15.6,1.8,0.8,1.0,2.0,6.7,16.0,0.575,0.5770000000000001,0.0,0.575,0.551,0.583,2014,C
1925,Steve Blake,107,2014-15,103.0,13.2,0.0,2.1,9.5,2083.0,34.0,POR,NBA,81.0,0.0,1529.0,4.1,10.9,1.5,3.6,2.6,7.3,1.0,1.4,0.5,4.0,4.6,9.6,1.4,0.2,3.5,3.9,11.7,0.373,0.41700000000000004,0.35200000000000004,0.491,0.7070000000000001,0.507,2014,PG
1926,Eric Bledsoe,106,2014-15,107.0,23.7,3.3,7.0,18.4,2084.0,25.0,PHO,NBA,81.0,81.0,2800.0,8.3,18.6,6.8,13.8,1.6,4.8,6.3,7.9,1.3,6.2,7.5,8.8,2.3,0.8,4.9,3.4,24.5,0.447,0.491,0.324,0.489,0.8,0.555,2014,PG
1927,Bojan Bogdanović,111,2014-15,106.0,17.2,0.1,2.4,11.6,2086.0,25.0,BRK,NBA,78.0,28.0,1854.0,7.3,16.1,4.7,8.9,2.5,7.1,2.4,3.0,1.4,4.6,5.9,1.9,0.9,0.3,2.2,2.9,19.5,0.45299999999999996,0.531,0.355,0.532,0.821,0.562,2014,SF
1928,Andrew Bogut,97,2014-15,110.0,13.2,2.4,5.2,15.8,2087.0,30.0,GSW,NBA,67.0,65.0,1583.0,6.2,11.0,6.2,11.0,0.0,0.0,0.7,1.3,4.4,12.4,16.8,5.6,1.2,3.5,3.3,5.8,13.0,0.563,0.563,0.0,0.563,0.524,0.565,2014,C
1929,Matt Bonner,107,2014-15,116.0,12.5,0.3,2.1,10.1,2088.0,34.0,SAS,NBA,72.0,19.0,935.0,5.1,12.6,2.6,5.7,2.5,6.9,1.6,2.0,1.6,4.7,6.3,2.6,0.5,0.7,0.6,3.6,14.5,0.409,0.462,0.365,0.509,0.8109999999999999,0.536,2014,PF
1930,Trevor Booker,104,2014-15,107.0,18.1,0.9,3.6,15.3,2089.0,27.0,UTA,NBA,79.0,5.0,1564.0,7.7,15.8,6.7,12.9,1.0,2.9,2.9,5.0,4.7,8.8,13.5,2.8,1.5,1.4,3.0,4.9,19.3,0.48700000000000004,0.518,0.345,0.518,0.581,0.536,2014,PF
1931,Carlos Boozer,109,2014-15,102.0,23.7,-0.6,2.2,16.4,2090.0,33.0,LAL,NBA,71.0,26.0,1692.0,11.2,22.4,11.2,22.4,0.0,0.0,2.8,4.5,3.4,11.2,14.5,2.9,1.2,0.4,2.8,5.6,25.2,0.499,0.499,0.0,0.499,0.627,0.517,2014,PF
1932,Chris Bosh,106,2014-15,106.0,28.4,0.8,3.6,19.8,2091.0,30.0,MIA,NBA,44.0,44.0,1556.0,11.6,25.3,9.5,19.6,2.1,5.7,6.1,7.9,1.6,9.0,10.5,3.2,1.4,0.8,3.2,2.3,31.5,0.46,0.485,0.375,0.503,0.772,0.5479999999999999,2014,C
1933,Avery Bradley,107,2014-15,99.0,21.0,0.2,2.5,11.5,2092.0,24.0,BOS,NBA,77.0,77.0,2428.0,9.0,20.9,6.4,13.6,2.6,7.3,1.6,2.1,0.9,4.0,5.0,2.8,1.7,0.3,2.2,3.7,22.1,0.429,0.47,0.35200000000000004,0.49,0.79,0.507,2014,SG
1934,Elton Brand,101,2014-15,96.0,11.6,0.1,0.7,9.4,2093.0,35.0,ATL,NBA,36.0,4.0,486.0,4.4,10.0,4.4,9.9,0.0,0.1,1.3,2.4,2.9,7.6,10.5,2.3,1.8,2.6,1.9,5.7,10.1,0.442,0.447,0.0,0.442,0.522,0.457,2014,C
1935,Corey Brewer,106,2014-15,101.0,21.6,0.5,3.1,13.9,2094.0,28.0,TOT,NBA,80.0,17.0,2087.0,8.2,19.3,6.7,13.7,1.5,5.6,4.0,5.4,1.9,5.2,7.1,4.2,2.7,0.5,3.1,4.2,22.0,0.426,0.491,0.268,0.465,0.743,0.507,2014,SF
1936,Corey Brewer,106,2014-15,101.0,21.6,0.5,3.1,13.9,2094.0,28.0,TOT,NBA,80.0,17.0,2087.0,8.2,19.3,6.7,13.7,1.5,5.6,4.0,5.4,1.9,5.2,7.1,4.2,2.7,0.5,3.1,4.2,22.0,0.426,0.491,0.268,0.465,0.743,0.507,2014,SF
1937,Corey Brewer,106,2014-15,101.0,21.6,0.5,3.1,13.9,2094.0,28.0,TOT,NBA,80.0,17.0,2087.0,8.2,19.3,6.7,13.7,1.5,5.6,4.0,5.4,1.9,5.2,7.1,4.2,2.7,0.5,3.1,4.2,22.0,0.426,0.491,0.268,0.465,0.743,0.507,2014,SF
1938,Aaron Brooks,107,2014-15,103.0,25.0,0.3,3.3,14.4,2095.0,30.0,CHI,NBA,82.0,21.0,1885.0,9.4,22.4,6.1,13.8,3.3,8.6,4.0,4.8,0.9,3.7,4.6,7.2,1.5,0.4,4.3,5.2,26.2,0.42100000000000004,0.442,0.387,0.495,0.833,0.534,2014,PG
1939,Jabari Brown,115,2014-15,104.0,18.8,-0.3,0.4,11.0,2096.0,22.0,LAL,NBA,19.0,5.0,568.0,6.3,15.3,4.2,9.7,2.1,5.6,5.8,7.6,0.3,3.0,3.2,3.6,1.1,0.2,2.9,3.0,20.4,0.41200000000000003,0.435,0.371,0.479,0.753,0.547,2014,SG
1940,Lorenzo Brown,111,2014-15,99.0,12.9,-0.1,0.3,11.0,2097.0,24.0,MIN,NBA,29.0,7.0,549.0,4.8,11.3,4.3,8.7,0.6,2.6,1.1,1.8,1.3,5.2,6.5,8.3,2.6,0.6,2.8,4.5,11.3,0.426,0.489,0.214,0.451,0.632,0.46799999999999997,2014,PG
1941,Markel Brown,107,2014-15,95.0,15.3,-0.1,0.5,9.1,2098.0,23.0,BRK,NBA,47.0,29.0,781.0,5.0,13.9,3.9,9.7,1.1,4.2,3.1,3.8,1.1,6.0,7.1,2.6,2.1,0.8,1.8,3.8,14.3,0.36200000000000004,0.40399999999999997,0.266,0.402,0.825,0.45899999999999996,2014,SG
1942,Kobe Bryant,110,2014-15,96.0,34.9,0.7,0.2,17.6,2100.0,36.0,LAL,NBA,35.0,35.0,1207.0,11.3,30.2,9.0,22.4,2.3,7.8,8.3,10.2,1.1,7.3,8.4,8.3,2.0,0.3,5.4,2.8,33.1,0.373,0.401,0.293,0.41100000000000003,0.813,0.47700000000000004,2014,SG
1943,Chase Budinger,113,2014-15,106.0,16.3,-0.3,1.3,12.2,2101.0,26.0,MIN,NBA,67.0,4.0,1286.0,6.7,15.4,4.6,9.8,2.1,5.7,2.6,3.2,1.3,6.5,7.8,2.5,1.7,0.4,1.9,2.8,18.1,0.433,0.474,0.364,0.5,0.8270000000000001,0.537,2014,SF
1944,Trey Burke,108,2014-15,100.0,23.9,0.1,2.4,12.6,2103.0,22.0,UTA,NBA,76.0,43.0,2288.0,8.6,23.3,5.7,14.3,2.9,9.1,2.5,3.4,0.7,4.0,4.7,7.6,1.5,0.3,2.9,2.8,22.6,0.368,0.4,0.318,0.43,0.752,0.455,2014,PG
1945,Alec Burks,109,2014-15,107.0,20.8,0.1,1.7,13.0,2104.0,23.0,UTA,NBA,27.0,27.0,899.0,7.1,17.7,5.6,13.7,1.5,4.0,6.3,7.6,1.1,5.6,6.7,4.8,1.0,0.3,3.1,3.8,22.1,0.40299999999999997,0.409,0.382,0.447,0.8220000000000001,0.524,2014,SG
1946,Caron Butler,109,2014-15,108.0,12.9,0.2,2.4,9.3,2105.0,34.0,DET,NBA,78.0,21.0,1623.0,5.1,12.6,2.5,5.6,2.6,7.0,1.8,1.9,0.7,5.6,6.2,2.5,1.4,0.1,1.6,3.8,14.7,0.40700000000000003,0.441,0.379,0.511,0.902,0.544,2014,SF
1947,Jimmy Butler,104,2014-15,122.0,21.6,4.2,11.2,21.3,2106.0,25.0,CHI,NBA,65.0,65.0,2513.0,8.7,18.8,7.2,14.8,1.5,4.0,7.9,9.5,2.3,5.5,7.8,4.4,2.3,0.7,1.9,2.2,26.8,0.462,0.484,0.37799999999999995,0.502,0.8340000000000001,0.583,2014,SG
1948,Rasual Butler,105,2014-15,104.0,17.9,0.1,2.6,11.4,2107.0,35.0,WAS,NBA,75.0,1.0,1505.0,7.4,17.6,4.3,9.6,3.1,8.0,1.8,2.3,0.9,5.8,6.7,2.1,1.0,0.7,1.6,3.3,19.7,0.42200000000000004,0.45,0.387,0.51,0.7909999999999999,0.531,2014,SF
1949,Nick Calathes,99,2014-15,93.0,17.9,0.4,1.1,12.3,2111.0,25.0,MEM,NBA,58.0,0.0,838.0,6.5,15.4,5.8,12.7,0.7,2.7,1.5,2.8,1.2,5.4,6.6,9.1,3.9,0.3,3.8,6.2,15.1,0.42100000000000004,0.456,0.256,0.44299999999999995,0.5329999999999999,0.455,2014,SG
1950,José Calderón,113,2014-15,103.0,16.1,-0.4,0.9,11.3,2112.0,33.0,NYK,NBA,42.0,42.0,1270.0,6.1,14.7,3.6,8.8,2.4,5.9,1.2,1.3,0.8,4.4,5.1,8.2,1.3,0.0,3.1,3.2,15.8,0.415,0.415,0.415,0.499,0.9059999999999999,0.519,2014,PG
1951,Kentavious Caldwell-Pope,109,2014-15,101.0,19.5,0.6,2.8,11.2,2113.0,21.0,DET,NBA,82.0,82.0,2587.0,7.8,19.4,4.7,10.6,3.1,8.9,2.2,3.2,0.9,4.2,5.1,2.2,1.9,0.4,1.9,3.2,20.9,0.401,0.449,0.345,0.48,0.696,0.501,2014,SG
